subject_id,gender,ever_married,work_type,Residence_type
10120,Female,No,Self-employed,Urban
10121,Female,Yes,Private,Urban
10122,Male,Yes,Private,Urban
10123,Female,Yes,Private,Urban
10124,Female,Yes,Govt_job,Rural
10125,Female,Yes,Private,Rural
10126,Male,Yes,Private,Urban
10127,Female,Yes,Self-employed,Urban
10128,Male,Yes,Self-employed,Urban
10129,Female,Yes,Self-employed,Rural
10130,Female,Yes,Private,Rural
10131,Female,Yes,Private,Rural
10132,Female,Yes,Private,Urban
10133,Female,Yes,Self-employed,Urban
10134,Female,Yes,Self-employed,Rural
10135,Female,No,Private,Urban
10136,Female,Yes,Self-employed,Urban
10137,Male,Yes,Self-employed,Urban
10138,Female,Yes,Govt_job,Rural
10139,Female,No,Govt_job,Urban
10140,Male,Yes,Self-employed,Rural
10141,Female,Yes,Private,Urban
10142,Female,Yes,Self-employed,Rural
10143,Male,Yes,Self-employed,Rural
10144,Female,Yes,Private,Urban
10145,Male,Yes,Self-employed,Rural
10146,Male,Yes,Private,Urban
10147,Female,Yes,Private,Urban
10148,Male,Yes,Private,Urban
10149,Female,Yes,Private,Rural
10150,Male,Yes,Private,Urban
10151,Male,Yes,Private,Rural
10152,Male,Yes,Self-employed,Urban
10153,Female,Yes,Govt_job,Urban
10154,Male,Yes,Private,Rural
10155,Female,Yes,Private,Urban
10156,Male,Yes,Private,Urban
10157,Male,Yes,Self-employed,Rural
10158,Male,Yes,Private,Rural
10159,Female,Yes,Private,Rural
10160,Male,Yes,Private,Urban
10161,Male,Yes,Private,Rural
10162,Male,Yes,Private,Rural
10163,Female,Yes,Self-employed,Urban
10164,Male,Yes,Private,Urban
10165,Female,Yes,Self-employed,Rural
10166,Female,Yes,Self-employed,Rural
10167,Male,Yes,Govt_job,Rural
10168,Female,Yes,Private,Urban
10169,Female,Yes,Private,Rural
10170,Male,No,Self-employed,Urban
10171,Male,Yes,Self-employed,Rural
10172,Female,Yes,Govt_job,Rural
10173,Female,Yes,Private,Urban
10174,Female,Yes,Govt_job,Rural
10175,Male,Yes,Private,Urban
10176,Female,Yes,Private,Urban
10177,Female,Yes,Self-employed,Urban
10178,Female,No,Private,Urban
10179,Male,Yes,Self-employed,Urban
10180,Female,Yes,Private,Urban
10181,Male,Yes,Govt_job,Rural
10182,Male,Yes,Private,Urban
10183,Male,Yes,Private,Rural
10184,Female,Yes,Govt_job,Rural
10185,Female,No,Govt_job,Urban
10186,Male,No,Private,Rural
10187,Female,Yes,Private,Urban
10188,Female,Yes,Private,Rural
10189,Female,Yes,Self-employed,Urban
10190,Female,No,Private,Urban
10191,Female,Yes,Self-employed,Rural
10192,Female,Yes,Private,Urban
10193,Female,Yes,Self-employed,Urban
10194,Female,Yes,Self-employed,Urban
10195,Male,Yes,Self-employed,Urban
10196,Female,Yes,Private,Rural
10197,Male,Yes,Private,Urban
10198,Male,Yes,Self-employed,Rural
10199,Female,Yes,Private,Urban
10200,Male,Yes,Private,Urban
10201,Male,Yes,Private,Rural
10202,Male,Yes,Private,Rural
10203,Male,Yes,Private,Rural
10204,Female,Yes,Private,Urban
10205,Male,Yes,Private,Rural
10206,Female,No,children,Rural
10207,Female,Yes,Self-employed,Rural
10208,Female,Yes,Private,Rural
10209,Male,No,children,Rural
10210,Male,Yes,Private,Urban
10211,Female,No,Private,Urban
10212,Female,Yes,Private,Rural
10213,Female,Yes,Private,Urban
10214,Female,Yes,Self-employed,Rural
10215,Female,Yes,Private,Rural
10216,Female,Yes,Govt_job,Urban
10217,Male,Yes,Private,Urban
10218,Female,Yes,Private,Rural
10219,Female,Yes,Private,Rural
10220,Female,Yes,Private,Rural
10221,Male,No,Private,Rural
10222,Female,No,Private,Urban
10223,Female,Yes,Private,Rural
10224,Female,Yes,Govt_job,Urban
10225,Female,Yes,Self-employed,Urban
10226,Female,Yes,Private,Rural
10227,Female,Yes,Private,Rural
10228,Male,Yes,Private,Urban
10229,Female,Yes,Private,Urban
10230,Female,Yes,Private,Urban
10231,Female,Yes,Govt_job,Rural
10232,Female,No,Private,Rural
10233,Female,Yes,Private,Rural
10234,Female,Yes,Self-employed,Rural
10235,Male,Yes,Self-employed,Urban
10236,Female,Yes,Private,Urban
10237,Male,No,Private,Urban
10238,Female,No,children,Urban
10239,Female,Yes,Private,Urban
10240,Male,No,Govt_job,Urban
10241,Female,Yes,Private,Rural
10242,Female,No,Private,Urban
10243,Female,Yes,Private,Urban
10244,Female,No,Self-employed,Urban
10245,Male,Yes,Private,Urban
10246,Male,No,children,Urban
10247,Male,No,children,Rural
10248,Female,No,children,Rural
10249,Male,Yes,Private,Urban
10250,Female,No,Private,Rural
10251,Female,Yes,Govt_job,Urban
10252,Female,Yes,Private,Rural
10253,Male,Yes,Govt_job,Rural
10254,Male,Yes,Self-employed,Rural
10255,Female,Yes,Private,Rural
10256,Female,Yes,Self-employed,Urban
10257,Female,No,Self-employed,Urban
10258,Male,Yes,Private,Rural
10259,Male,Yes,Private,Rural
10260,Male,Yes,Private,Rural
10261,Male,Yes,Private,Urban
10262,Female,No,children,Urban
10263,Male,Yes,Govt_job,Urban
10264,Female,Yes,Private,Urban
10265,Male,Yes,Self-employed,Rural
10266,Female,Yes,Self-employed,Rural
10267,Female,Yes,Private,Urban
10268,Female,Yes,Private,Rural
10269,Female,Yes,Private,Rural
10270,Female,Yes,Private,Urban
10271,Male,Yes,Private,Rural
10272,Male,Yes,Self-employed,Urban
10273,Female,Yes,Self-employed,Rural
10274,Female,Yes,Private,Rural
10275,Female,No,Private,Urban
10276,Male,No,Private,Rural
10277,Male,No,children,Rural
10278,Female,No,Private,Urban
10279,Male,Yes,Private,Rural
10280,Male,No,Govt_job,Urban
10281,Male,Yes,Private,Rural
10282,Female,Yes,Private,Rural
10283,Male,No,children,Rural
10284,Female,No,Private,Rural
10285,Female,No,Private,Rural
10286,Female,Yes,Private,Urban
10287,Female,Yes,Private,Urban
10288,Male,Yes,Self-employed,Urban
10289,Female,Yes,Self-employed,Rural
10290,Male,No,children,Rural
10291,Female,Yes,Private,Urban
10292,Female,No,Private,Urban
10293,Female,Yes,Govt_job,Rural
10294,Female,Yes,Private,Rural
10295,Female,Yes,Private,Urban
10296,Female,Yes,Private,Rural
10297,Male,Yes,Govt_job,Urban
10298,Female,Yes,Self-employed,Urban
10299,Female,No,Private,Urban
10300,Male,Yes,Private,Rural
10301,Female,Yes,Govt_job,Urban
10302,Female,No,Private,Rural
10303,Female,No,Govt_job,Urban
10304,Female,Yes,Self-employed,Urban
10305,Female,Yes,Private,Urban
10306,Female,No,Private,Rural
10307,Female,Yes,Private,Rural
10308,Female,Yes,Private,Urban
10309,Female,Yes,Private,Rural
10310,Male,Yes,Private,Urban
10311,Female,No,Govt_job,Rural
10312,Female,Yes,Private,Urban
10313,Female,Yes,Self-employed,Rural
10314,Male,Yes,Private,Rural
10315,Female,No,children,Urban
10316,Male,Yes,Private,Urban
10317,Female,Yes,Private,Rural
10318,Female,Yes,Self-employed,Rural
10319,Female,No,Self-employed,Rural
10320,Female,Yes,Private,Rural
10321,Female,No,children,Rural
10322,Male,Yes,Private,Rural
10323,Female,No,Private,Urban
10324,Male,Yes,Private,Urban
10325,Female,Yes,Private,Rural
10326,Female,Yes,Govt_job,Rural
10327,Male,Yes,Govt_job,Rural
10328,Female,No,children,Rural
10329,Male,No,Private,Urban
10330,Female,No,children,Rural
10331,Female,Yes,Private,Rural
10332,Male,No,children,Rural
10333,Female,Yes,Private,Urban
10334,Male,Yes,Govt_job,Rural
10335,Male,No,children,Rural
10336,Male,No,children,Rural
10337,Female,Yes,Private,Urban
10338,Male,Yes,Self-employed,Urban
10339,Male,No,Private,Urban
10340,Male,Yes,Govt_job,Rural
10341,Female,Yes,Private,Rural
10342,Male,Yes,Private,Urban
10343,Male,Yes,Private,Rural
10344,Female,Yes,Private,Rural
10345,Male,No,Self-employed,Urban
10346,Female,No,Private,Urban
10347,Female,No,Private,Urban
10348,Male,Yes,Private,Rural
10349,Female,Yes,Self-employed,Rural
10350,Female,Yes,Private,Rural
10351,Male,Yes,Private,Rural
10352,Female,No,children,Rural
10353,Female,No,children,Urban
10354,Female,No,Private,Rural
10355,Female,Yes,Govt_job,Urban
10356,Female,Yes,Self-employed,Rural
10357,Female,Yes,Govt_job,Urban
10358,Male,Yes,Private,Rural
10359,Female,Yes,Private,Rural
10360,Female,Yes,Private,Rural
10361,Female,Yes,Private,Rural
10362,Male,No,Self-employed,Rural
10363,Male,Yes,Self-employed,Rural
10364,Female,No,Govt_job,Rural
10365,Female,Yes,Self-employed,Urban
10366,Male,No,children,Urban
10367,Female,Yes,Private,Rural
10368,Female,No,children,Urban
10369,Female,Yes,Private,Urban
10370,Female,No,Private,Rural
10371,Female,No,Private,Urban
10372,Male,Yes,Govt_job,Urban
10373,Female,No,children,Rural
10374,Male,Yes,Private,Urban
10375,Female,Yes,Private,Urban
10376,Female,Yes,Private,Urban
10377,Female,Yes,Private,Rural
10378,Female,Yes,Private,Rural
10379,Female,Yes,Private,Rural
10380,Male,Yes,Private,Urban
10381,Male,Yes,Govt_job,Rural
10382,Female,Yes,Self-employed,Rural
10383,Male,Yes,Govt_job,Urban
10384,Female,Yes,Private,Urban
10385,Female,Yes,Self-employed,Urban
10386,Female,No,children,Rural
10387,Male,Yes,Private,Rural
10388,Male,Yes,Private,Urban
10389,Female,No,Private,Urban
10390,Female,No,Private,Urban
10391,Male,Yes,Private,Rural
10392,Male,No,Govt_job,Rural
10393,Female,Yes,Self-employed,Rural
10394,Male,No,children,Rural
10395,Male,No,Govt_job,Urban
10396,Female,Yes,Self-employed,Rural
10397,Male,Yes,Private,Urban
10398,Male,Yes,Govt_job,Urban
10399,Male,Yes,Self-employed,Rural
10400,Male,No,children,Urban
10401,Male,No,Private,Urban
10402,Male,Yes,Self-employed,Urban
10403,Female,Yes,Private,Rural
10404,Male,No,Private,Urban
10405,Male,No,Private,Rural
10406,Female,Yes,Private,Urban
10407,Female,Yes,Private,Rural
10408,Female,No,children,Rural
10409,Female,No,children,Rural
10410,Female,No,children,Rural
10411,Female,Yes,Self-employed,Rural
10412,Male,Yes,Private,Rural
10413,Male,Yes,Private,Rural
10414,Female,No,Self-employed,Rural
10415,Female,Yes,Private,Urban
10416,Male,Yes,Private,Urban
10417,Male,Yes,Private,Rural
10418,Female,No,Self-employed,Rural
10419,Female,Yes,Private,Rural
10420,Female,Yes,Govt_job,Rural
10421,Female,No,Private,Urban
10422,Female,No,Private,Rural
10423,Male,No,Private,Rural
10424,Female,Yes,Govt_job,Urban
10425,Male,No,children,Urban
10426,Female,Yes,Self-employed,Rural
10427,Female,Yes,Self-employed,Urban
10428,Male,No,children,Rural
10429,Female,Yes,Self-employed,Rural
10430,Female,Yes,Private,Urban
10431,Male,No,Private,Rural
10432,Male,Yes,Private,Rural
10433,Female,Yes,Self-employed,Rural
10434,Male,Yes,Private,Urban
10435,Male,No,Private,Rural
10436,Male,Yes,Private,Rural
10437,Male,Yes,Self-employed,Urban
10438,Female,Yes,Private,Rural
10439,Female,Yes,Private,Urban
10440,Male,No,children,Rural
10441,Female,No,children,Rural
10442,Female,No,children,Rural
10443,Female,No,Private,Urban
10444,Female,Yes,Private,Urban
10445,Female,Yes,Private,Urban
10446,Female,Yes,Private,Urban
10447,Male,Yes,Self-employed,Urban
10448,Female,Yes,Govt_job,Urban
10449,Male,Yes,Private,Rural
10450,Female,Yes,Private,Urban
10451,Female,Yes,Private,Rural
10452,Male,Yes,Private,Rural
10453,Female,Yes,Private,Rural
10454,Female,Yes,Private,Rural
10455,Female,Yes,Private,Rural
10456,Male,Yes,Private,Urban
10457,Male,No,Private,Urban
10458,Male,No,Govt_job,Rural
10459,Female,Yes,Private,Urban
10460,Female,Yes,Self-employed,Urban
10461,Female,Yes,Self-employed,Rural
10462,Male,Yes,Private,Urban
10463,Male,No,children,Rural
10464,Female,Yes,Private,Urban
10465,Male,Yes,Self-employed,Urban
10466,Male,Yes,Private,Urban
10467,Female,Yes,Govt_job,Urban
10468,Female,No,children,Rural
10469,Female,Yes,Private,Urban
10470,Female,Yes,Govt_job,Urban
10471,Female,Yes,Private,Rural
10472,Female,Yes,Private,Rural
10473,Male,Yes,Self-employed,Urban
10474,Male,No,Private,Rural
10475,Female,Yes,Private,Rural
10476,Male,Yes,Private,Urban
10477,Female,No,Private,Urban
10478,Female,No,children,Urban
10479,Male,Yes,Private,Urban
10480,Male,Yes,Self-employed,Urban
10481,Female,No,Private,Rural
10482,Female,Yes,Private,Urban
10483,Male,Yes,Govt_job,Urban
10484,Female,Yes,Self-employed,Urban
10485,Female,Yes,Self-employed,Urban
10486,Male,No,Private,Rural
10487,Male,No,children,Urban
10488,Female,Yes,Private,Rural
10489,Male,No,Private,Rural
10490,Male,Yes,Private,Urban
10491,Female,No,children,Urban
10492,Female,Yes,Private,Urban
10493,Male,Yes,Private,Urban
10494,Female,Yes,Self-employed,Rural
10495,Male,No,children,Rural
10496,Female,No,Private,Rural
10497,Male,No,Private,Urban
10498,Male,Yes,Private,Urban
10499,Male,No,children,Rural
10500,Female,Yes,Govt_job,Rural
10501,Male,No,children,Urban
10502,Male,Yes,Private,Urban
10503,Female,No,children,Urban
10504,Female,Yes,Self-employed,Urban
10505,Female,No,children,Rural
10506,Female,Yes,Private,Rural
10507,Male,No,Private,Urban
10508,Male,No,Private,Rural
10509,Female,No,Self-employed,Urban
10510,Female,No,Self-employed,Urban
10511,Male,Yes,Private,Urban
10512,Female,Yes,Self-employed,Urban
10513,Male,Yes,Private,Urban
10514,Female,Yes,Private,Urban
10515,Male,No,Private,Urban
10516,Male,Yes,Private,Rural
10517,Male,No,Private,Urban
10518,Female,Yes,Private,Urban
10519,Female,No,Private,Urban
10520,Female,Yes,Private,Rural
10521,Female,Yes,Self-employed,Urban
10522,Male,No,Self-employed,Rural
10523,Female,Yes,Private,Rural
10524,Male,Yes,Private,Rural
10525,Male,No,children,Rural
10526,Female,Yes,Private,Rural
10527,Female,No,Private,Rural
10528,Female,Yes,Self-employed,Urban
10529,Female,Yes,Private,Urban
10530,Male,Yes,Private,Urban
10531,Male,Yes,Private,Urban
10532,Male,Yes,Private,Urban
10533,Female,Yes,Private,Urban
10534,Female,Yes,Private,Urban
10535,Female,Yes,Private,Urban
10536,Female,Yes,Self-employed,Urban
10537,Female,No,children,Rural
10538,Male,No,children,Rural
10539,Female,Yes,Private,Urban
10540,Female,No,Self-employed,Rural
10541,Male,Yes,Private,Rural
10542,Female,Yes,Govt_job,Rural
10543,Male,Yes,Private,Rural
10544,Male,No,children,Urban
10545,Male,Yes,Private,Urban
10546,Female,No,children,Urban
10547,Male,Yes,Private,Rural
10548,Male,No,children,Rural
10549,Female,Yes,Private,Rural
10550,Male,Yes,Govt_job,Urban
10551,Male,Yes,Private,Rural
10552,Male,No,Self-employed,Rural
10553,Female,No,Private,Rural
10554,Female,Yes,Private,Urban
10555,Female,Yes,Govt_job,Urban
10556,Female,Yes,Govt_job,Rural
10557,Male,Yes,Private,Urban
10558,Male,Yes,Private,Urban
10559,Male,Yes,Private,Rural
10560,Female,Yes,Private,Rural
10561,Female,Yes,Private,Urban
10562,Female,Yes,Private,Rural
10563,Male,Yes,Self-employed,Urban
10564,Female,Yes,Private,Urban
10565,Male,No,Private,Rural
10566,Female,Yes,Govt_job,Urban
10567,Female,No,Govt_job,Rural
10568,Female,Yes,Self-employed,Urban
10569,Female,Yes,Self-employed,Rural
10570,Male,Yes,Private,Urban
10571,Male,Yes,Govt_job,Rural
10572,Female,Yes,Govt_job,Urban
10573,Male,No,Private,Rural
10574,Male,Yes,Private,Rural
10575,Female,Yes,Private,Urban
10576,Male,Yes,Self-employed,Urban
10577,Male,No,Private,Urban
10578,Female,Yes,Private,Urban
10579,Male,No,children,Rural
10580,Male,Yes,Private,Rural
10581,Female,Yes,Self-employed,Urban
10582,Female,Yes,Self-employed,Urban
10583,Male,Yes,Self-employed,Urban
10584,Female,No,Self-employed,Urban
10585,Female,No,Private,Urban
10586,Female,Yes,Private,Rural
10587,Male,Yes,Govt_job,Rural
10588,Female,Yes,Self-employed,Urban
10589,Male,Yes,Self-employed,Urban
10590,Female,Yes,Private,Urban
10591,Female,Yes,Private,Urban
10592,Male,Yes,Private,Urban
10593,Female,Yes,Private,Rural
10594,Female,No,children,Rural
10595,Female,No,Self-employed,Rural
10596,Male,Yes,Self-employed,Urban
10597,Male,No,Private,Rural
10598,Female,No,Self-employed,Urban
10599,Female,Yes,Private,Rural
10600,Male,Yes,Private,Rural
10601,Female,Yes,Govt_job,Rural
10602,Male,Yes,Self-employed,Rural
10603,Male,No,children,Rural
10604,Male,Yes,Govt_job,Rural
10605,Male,Yes,Self-employed,Rural
10606,Female,Yes,Govt_job,Rural
10607,Male,No,children,Urban
10608,Female,Yes,Govt_job,Rural
10609,Female,Yes,Private,Urban
10610,Female,Yes,Private,Rural
10611,Male,Yes,Private,Rural
10612,Female,No,Private,Rural
10613,Female,No,Private,Rural
10614,Male,No,Private,Urban
10615,Female,No,children,Rural
10616,Female,No,children,Urban
10617,Male,No,Private,Urban
10618,Male,No,Private,Urban
10619,Female,Yes,Private,Urban
10620,Female,Yes,Private,Rural
10621,Female,Yes,Private,Rural
10622,Female,Yes,Self-employed,Urban
10623,Female,Yes,Self-employed,Urban
10624,Female,No,Private,Urban
10625,Female,No,children,Urban
10626,Female,Yes,Private,Rural
10627,Female,Yes,Private,Rural
10628,Female,No,children,Rural
10629,Female,Yes,Private,Urban
10630,Female,Yes,Private,Rural
10631,Female,Yes,Private,Urban
10632,Female,Yes,Private,Rural
10633,Male,Yes,Private,Urban
10634,Female,Yes,Private,Rural
10635,Female,Yes,Private,Urban
10636,Female,No,Private,Rural
10637,Female,Yes,Private,Urban
10638,Female,Yes,Govt_job,Rural
10639,Male,Yes,Private,Rural
10640,Female,Yes,Private,Urban
10641,Female,No,Private,Urban
10642,Female,Yes,Self-employed,Rural
10643,Female,No,Self-employed,Rural
10644,Male,Yes,Private,Urban
10645,Female,Yes,Private,Rural
10646,Female,No,Private,Rural
10647,Male,No,Private,Urban
10648,Female,No,children,Rural
10649,Female,Yes,Private,Urban
10650,Male,Yes,Private,Urban
10651,Female,Yes,Self-employed,Urban
10652,Female,No,Private,Rural
10653,Male,No,children,Rural
10654,Male,Yes,Private,Rural
10655,Male,Yes,Private,Urban
10656,Female,No,Private,Urban
10657,Female,Yes,Self-employed,Rural
10658,Male,No,Private,Urban
10659,Male,No,Private,Rural
10660,Male,No,children,Rural
10661,Male,Yes,Private,Urban
10662,Female,Yes,Private,Urban
10663,Male,No,children,Urban
10664,Male,Yes,Self-employed,Rural
10665,Male,Yes,Private,Urban
10666,Female,Yes,Private,Urban
10667,Male,Yes,Private,Urban
10668,Female,Yes,Govt_job,Urban
10669,Female,Yes,Private,Urban
10670,Female,No,Private,Rural
10671,Male,Yes,Private,Rural
10672,Male,No,Private,Rural
10673,Female,Yes,Private,Urban
10674,Female,Yes,Private,Rural
10675,Male,Yes,Private,Urban
10676,Female,Yes,Govt_job,Rural
10677,Male,Yes,Self-employed,Urban
10678,Male,Yes,Govt_job,Rural
10679,Male,No,children,Rural
10680,Female,Yes,Private,Urban
10681,Female,No,Private,Urban
10682,Female,No,children,Urban
10683,Female,Yes,Private,Rural
10684,Female,Yes,Private,Rural
10685,Female,No,Private,Rural
10686,Male,No,Private,Rural
10687,Male,Yes,Govt_job,Rural
10688,Female,No,Private,Urban
10689,Female,Yes,Private,Urban
10690,Female,No,Private,Rural
10691,Female,Yes,Private,Urban
10692,Female,Yes,Private,Urban
10693,Female,Yes,Private,Rural
10694,Female,No,Private,Rural
10695,Male,Yes,Private,Urban
10696,Male,Yes,Private,Rural
10697,Male,Yes,Private,Rural
10698,Male,No,Private,Rural
10699,Male,Yes,Govt_job,Rural
10700,Male,Yes,Private,Rural
10701,Female,Yes,Private,Urban
10702,Female,Yes,Govt_job,Rural
10703,Male,No,Self-employed,Urban
10704,Female,Yes,Private,Rural
10705,Male,Yes,Private,Urban
10706,Female,Yes,Private,Rural
10707,Male,No,Private,Rural
10708,Male,No,children,Urban
10709,Female,Yes,Private,Urban
10710,Female,Yes,Self-employed,Urban
10711,Male,No,children,Urban
10712,Female,Yes,Private,Urban
10713,Female,Yes,Private,Rural
10714,Female,Yes,Private,Rural
10715,Female,Yes,Private,Urban
10716,Female,Yes,Private,Rural
10717,Female,Yes,Private,Rural
10718,Female,Yes,Private,Rural
10719,Male,No,Private,Urban
10720,Male,No,Private,Urban
10721,Female,No,Private,Urban
10722,Female,Yes,Private,Rural
10723,Female,Yes,Govt_job,Rural
10724,Female,No,Private,Urban
10725,Female,No,Private,Urban
10726,Female,No,Private,Urban
10727,Female,No,children,Rural
10728,Female,Yes,Private,Urban
10729,Female,Yes,Private,Rural
10730,Male,Yes,Self-employed,Rural
10731,Female,Yes,Private,Rural
10732,Female,Yes,Private,Urban
10733,Male,Yes,Private,Rural
10734,Female,No,Govt_job,Rural
10735,Female,Yes,Govt_job,Urban
10736,Female,Yes,Private,Urban
10737,Male,Yes,Private,Rural
10738,Male,Yes,Private,Rural
10739,Female,Yes,Private,Rural
10740,Male,No,Govt_job,Urban
10741,Female,No,children,Urban
10742,Male,Yes,Govt_job,Urban
10743,Male,Yes,Govt_job,Rural
10744,Male,No,children,Rural
10745,Male,No,Govt_job,Rural
10746,Male,Yes,Private,Urban
10747,Female,No,Private,Urban
10748,Female,Yes,Govt_job,Rural
10749,Male,Yes,Govt_job,Rural
10750,Male,Yes,Govt_job,Urban
10751,Female,Yes,Govt_job,Rural
10752,Male,Yes,Govt_job,Rural
10753,Female,Yes,Private,Urban
10754,Female,Yes,Govt_job,Rural
10755,Female,Yes,Govt_job,Urban
10756,Male,Yes,Govt_job,Rural
10757,Male,No,children,Rural
10758,Male,Yes,Private,Rural
10759,Female,Yes,Private,Urban
10760,Male,No,children,Rural
10761,Female,Yes,Private,Rural
10762,Female,Yes,Govt_job,Urban
10763,Female,No,Private,Urban
10764,Female,No,Govt_job,Urban
10765,Female,Yes,Private,Rural
10766,Female,Yes,Private,Rural
10767,Female,No,children,Urban
10768,Male,Yes,Govt_job,Rural
10769,Female,No,Private,Rural
10770,Female,No,Self-employed,Urban
10771,Male,No,children,Rural
10772,Female,Yes,Private,Urban
10773,Male,Yes,Govt_job,Rural
10774,Male,Yes,Private,Urban
10775,Female,Yes,Govt_job,Rural
10776,Female,Yes,Self-employed,Urban
10777,Female,No,children,Rural
10778,Male,Yes,Private,Urban
10779,Female,No,Private,Rural
10780,Female,Yes,Private,Rural
10781,Female,Yes,Self-employed,Urban
10782,Female,Yes,Private,Rural
10783,Male,No,children,Rural
10784,Female,Yes,Private,Urban
10785,Female,No,Private,Rural
10786,Male,Yes,Private,Urban
10787,Male,No,Private,Urban
10788,Female,Yes,Private,Urban
10789,Male,Yes,Private,Urban
10790,Male,Yes,Self-employed,Rural
10791,Female,No,Private,Urban
10792,Female,Yes,Private,Urban
10793,Female,Yes,Private,Urban
10794,Male,Yes,Private,Rural
10795,Female,Yes,Govt_job,Rural
10796,Female,Yes,Private,Rural
10797,Male,Yes,Private,Rural
10798,Male,Yes,Private,Rural
10799,Female,Yes,Private,Urban
10800,Female,No,children,Rural
10801,Male,No,Private,Urban
10802,Male,Yes,Govt_job,Urban
10803,Female,Yes,Govt_job,Rural
10804,Male,Yes,Private,Rural
10805,Male,No,Private,Rural
10806,Female,Yes,Private,Urban
10807,Male,Yes,Self-employed,Urban
